gene_id,B1_fpkm_CL,B2_fpkm_CL,B3_fpkm_CL,B4_fpkm_CL,B5_fpkm_CL,B6_fpkm_CL,B7_fpkm_CL,B8_fpkm_CL,B9_fpkm_CL,B10_fpkm_MO,B11_fpkm_MO,B12_fpkm_MO,B13_fpkm_MO,B14_fpkm_MO,B15_fpkm_MO,B16_fpkm_MO,B17_fpkm_MO,B18_fpkm_MO,B19_fpkm_MI,B20_fpkm_MI,B21_fpkm_MI,B22_fpkm_MI,B23_fpkm_MI,B24_fpkm_MI,B25_fpkm_MI,B26_fpkm_MI,B27_fpkm_MI,C1_fpkm_CL,C2_fpkm_CL,C3_fpkm_CL,C4_fpkm_CL,C5_fpkm_CL,C6_fpkm_CL,C7_fpkm_CL,C8_fpkm_CL,C9_fpkm_CL,C10_fpkm_MO,C11_fpkm_MO,C12_fpkm_MO,C13_fpkm_MO,C14_fpkm_MO,C15_fpkm_MO,C16_fpkm_MO,C17_fpkm_MO,C18_fpkm_MO,C19_fpkm_MI,C20_fpkm_MI,C21_fpkm_MI,C22_fpkm_MI,C23_fpkm_MI,C24_fpkm_MI,C25_fpkm_MI,C26_fpkm_MI,C27_fpkm_MI
VCL,136.856677,158.428837,156.426415,106.988232,183.463181,117.969173,176.806411,113.519483,174.023373,,,,,,,,,,89.054651,98.6855523,107.914036,130.030097,99.1215113,133.52277,121.497726,144.105224,101.038848,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9790622,63.0950478,45.7896124,66.8512163,49.1479028,64.566228,53.6208471,61.7604236,50.8672579,71.9430452,65.2781078,68.1393616,68.7760734,88.6102809,55.7736018,82.4521628,82.7378732,79.8925043,,,,,,,,,
ADIRF,0.36619037,0.50166527,0.20931386,0.90725382,0.51774143,0.53169298,0.48864397,0.53585423,1.04937536,,,,,,,,,,0.37116314,0.32253967,0.40660466,0.53271579,0.55419816,0.33053142,0.43681997,0.43155861,0.35086517,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPRE2,1.04697213,0.51635066,0.44355533,0.30450395,0.29605412,0.71827531,0.87634911,0,0.47907396,,,,,,,,,,0.14149196,0.02766512,0,0.18523991,0.30166515,0.5985126,0.26447478,0.42303976,0.14561941,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMM21,1.14653517,0.24096035,0.42580731,0.10104882,0.13815671,0.52353575,0.29871666,0.14365509,0.58533329,0.40401265,0.05227263,0.11692423,0.28132706,0.37270537,0.11262263,0.09803689,0.18071599,0.0197936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHPT1,27.1668715,31.0442169,31.9010271,23.1694534,36.7818618,21.4933202,36.022181,26.0831991,33.6817008,,,,,,,,,,22.3079808,23.0494074,24.1238993,26.4363658,20.8839619,26.1028645,24.2801818,25.2800297,22.9833677,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMX3,1.08918162,1.89861009,0.73875479,2.67017847,1.67270308,0.83434898,0.42371925,2.0475575,1.23425291,,,,,,,,,,2.36021688,2.56046877,2.18159041,1.1828284,4.07286461,1.87583644,1.88563913,1.93490013,1.82832967,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.75620777,2.36152975,3.07470782,3.98546659,2.45206739,2.7356191,4.23324576,3.04756758,3.26470531,,,,,,,,,,2.45035051,2.12934736,2.45090901,3.19867666,2.06490964,2.40348064,2.31220664,2.37127586,2.92386027,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIP1,0.16963379,0.83660795,1.43732524,2.63129121,0.95935283,0.99751951,1.04948319,1.66255549,0.91734033,2.77150557,1.7581764,1.01489454,0.26542394,1.10286064,4.94888214,3.68746601,1.30716903,2.23349237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIF4EBP2,18.6632885,14.1606903,13.3590195,19.8333575,9.13404881,15.4069513,5.8777557,21.6333471,7.79345604,,,,,,,,,,34.6321688,25.3786436,31.4058767,8.15359776,38.8644588,19.6967347,28.5591001,14.7921418,34.1448402,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBXO15,1.55158461,0.50592914,0.91965109,0.79562171,0.5574953,2.01079525,1.17599324,0.73049431,1.56823877,1.23137373,0.39871394,0.27810362,1.14364875,0.33347121,0.73433958,0.91663938,0.41501019,0.67209273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
